SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_OF_DAYS,DAILY_MEAN,NB_OF_INVOICES
0409KO,2019-01-11,2019-11-30,2421,"331,38",323,7.495356037151703,24
0409KO,2019-01-12,2019-12-31,2502,"342,20",353,7.087818696883852,24
0409KO,2020-01-01,2020-01-31,2501,"340,17",30,83.36666666666666,24
0409KO,2020-01-02,2020-02-29,2344,"319,37",58,40.41379310344828,24
0409KO,2020-01-03,2020-03-31,2516,"342,15",88,28.59090909090909,24
0409KO,2020-01-04,2020-04-30,2440,"332,09",117,20.854700854700855,24
0409KO,2020-01-05,2020-05-31,2512,"341,62",147,17.08843537414966,24
0409KO,2020-01-06,2020-06-30,2431,"330,89",176,13.8125,24
0409KO,2020-01-07,2020-07-31,2511,"341,49",206,12.189320388349515,24
0409KO,2020-01-08,2020-08-31,2525,"343,35",236,10.69915254237288,24
0409KO,2020-01-09,2020-09-30,2418,"329,17",265,9.124528301886793,24
0409KO,2020-01-10,2020-10-31,2501,"340,17",295,8.477966101694916,24
0409KO,2020-01-11,2020-11-30,2414,"328,64",324,7.450617283950617,24
0412KO,2018-01-01,2018-01-31,1262,"149,17",30,42.06666666666667,35
0412KO,2018-01-02,2018-02-28,1136,"137,22",57,19.92982456140351,35
0412KO,2018-01-03,2018-03-31,1260,"149,08",87,14.482758620689655,35
0412KO,2018-01-04,2018-04-30,1281,"151,05",116,11.043103448275861,35
0412KO,2018-01-05,2018-05-31,1353,"157,87",146,9.267123287671232,35
0412KO,2018-01-06,2018-06-30,1997,"219,01",175,11.411428571428571,35
0412KO,2018-01-07,2018-07-31,2217,"290,02",205,10.814634146341463,35
0412KO,2018-01-08,2018-08-31,2235,"282,89",235,9.51063829787234,35
0412KO,2018-01-09,2018-09-30,2109,"243,23",264,7.988636363636363,35
0412KO,2018-01-10,2018-10-31,2151,"235,47",294,7.316326530612245,35
0412KO,2018-01-11,2018-11-30,2234,"243,44",323,6.91640866873065,35
0412KO,2018-01-12,2018-12-31,2530,"271,85",353,7.1671388101983,35
0412KO,2019-01-01,2019-01-31,2515,"301,77",30,83.83333333333333,35
0412KO,2019-01-02,2019-02-28,2217,"269,62",57,38.89473684210526,35
0412KO,2019-01-03,2019-03-31,2210,"280,82",87,25.402298850574713,35
0412KO,2019-01-04,2019-04-30,2107,"257,71",116,18.163793103448278,35
0412KO,2019-01-05,2019-05-31,2179,"265,46",146,14.924657534246576,35
0412KO,2019-01-06,2019-06-30,2199,"267,60",175,12.565714285714286,35
0412KO,2019-01-07,2019-07-31,2247,"308,82",205,10.960975609756098,35
0412KO,2019-01-08,2019-08-31,2269,"275,24",235,9.65531914893617,35
0412KO,2019-01-09,2019-09-30,2153,"262,65",264,8.155303030303031,35
0412KO,2019-01-10,2019-10-31,2253,"324,36",294,7.663265306122449,35
0412KO,2019-01-11,2019-11-30,2246,"272,77",323,6.953560371517028,35
0412KO,2019-01-12,2019-12-31,2548,"336,00",353,7.218130311614731,35
0412KO,2020-01-01,2020-01-31,2512,"311,84",30,83.73333333333333,35
0412KO,2020-01-02,2020-02-29,2284,"288,13",58,39.37931034482759,35
0412KO,2020-01-03,2020-03-31,2368,"296,90",88,26.90909090909091,35
0412KO,2020-01-04,2020-04-30,2175,"276,76",117,18.58974358974359,35
0412KO,2020-01-05,2020-05-31,2254,"284,99",147,15.333333333333334,35
0412KO,2020-01-06,2020-06-30,2220,"281,52",176,12.613636363636363,35
0412KO,2020-01-07,2020-07-31,2303,"290,07",206,11.179611650485437,35
0412KO,2020-01-08,2020-08-31,2322,"292,13",236,9.838983050847459,35
0412KO,2020-01-09,2020-09-30,2208,"280,22",265,8.332075471698113,35
0412KO,2020-01-10,2020-10-31,2233,"282,82",295,7.569491525423729,35
0412KO,2020-01-11,2020-11-30,2278,"237,16",324,7.030864197530864,35
0413KO,2018-01-01,2018-01-31,1350,"163,45",30,45.0,35
0413KO,2018-01-02,2018-02-28,1978,"223,11",57,34.70175438596491,35
0413KO,2018-01-03,2018-03-31,2269,"250,77",87,26.080459770114942,35
0413KO,2018-01-04,2018-04-30,2206,"244,74",116,19.017241379310345,35
0413KO,2018-01-05,2018-05-31,2319,"255,51",146,15.883561643835616,35
0413KO,2018-01-06,2018-06-30,2257,"249,58",175,12.897142857142857,35
0413KO,2018-01-07,2018-07-31,2356,"276,75",205,11.492682926829268,35
0413KO,2018-01-08,2018-08-31,2400,"278,06",235,10.212765957446809,35
0413KO,2018-01-09,2018-09-30,2233,"249,22",264,8.458333333333334,35
0413KO,2018-01-10,2018-10-31,2250,"250,82",294,7.653061224489796,35
0413KO,2018-01-11,2018-11-30,2179,"244,04",323,6.746130030959752,35
0413KO,2018-01-12,2018-12-31,2280,"253,71",353,6.458923512747876,35
0413KO,2019-01-01,2019-01-31,2374,"292,59",30,79.13333333333334,35
0413KO,2019-01-02,2019-02-28,2028,"255,15",57,35.578947368421055,35
0413KO,2019-01-03,2019-03-31,2214,"275,28",87,25.448275862068964,35
0413KO,2019-01-04,2019-04-30,2158,"269,20",116,18.603448275862068,35
0413KO,2019-01-05,2019-05-31,2254,"279,55",146,15.438356164383562,35
0413KO,2019-01-06,2019-06-30,2312,"285,84",175,13.211428571428572,35
0413KO,2019-01-07,2019-07-31,2336,"288,43",205,11.395121951219512,35
0413KO,2019-01-08,2019-08-31,2374,"292,59",235,10.102127659574467,35
0413KO,2019-01-09,2019-09-30,2214,"299,24",264,8.386363636363637,35
0413KO,2019-01-10,2019-10-31,2279,"282,25",294,7.7517006802721085,35
0413KO,2019-01-11,2019-11-30,2191,"287,78",323,6.78328173374613,35
0413KO,2019-01-12,2019-12-31,2310,"285,62",353,6.543909348441926,35
0413KO,2020-01-01,2020-01-31,2344,"281,83",30,78.13333333333334,35
0413KO,2020-01-02,2020-02-29,2130,"259,52",58,36.724137931034484,35
0413KO,2020-01-03,2020-03-31,2296,"276,85",88,26.09090909090909,35
0413KO,2020-01-04,2020-04-30,2245,"271,54",117,19.188034188034187,35
0413KO,2020-01-05,2020-05-31,2331,"280,42",147,15.857142857142858,35
0413KO,2020-01-06,2020-06-30,2328,"280,09",176,13.227272727272727,35
0413KO,2020-01-07,2020-07-31,2423,"290,06",206,11.762135922330097,35
0413KO,2020-01-08,2020-08-31,2433,"291,03",236,10.309322033898304,35
0413KO,2020-01-09,2020-09-30,2245,"302,99",265,8.471698113207546,35
0413KO,2020-01-10,2020-10-31,2347,"282,15",295,7.95593220338983,35
0413KO,2020-01-11,2020-11-30,2391,"248,96",324,7.37962962962963,35
0414KO,2018-01-01,2018-01-31,1821,"225,40",30,60.7,35
0414KO,2018-01-02,2018-02-28,1663,"206,36",57,29.17543859649123,35
0414KO,2018-01-03,2018-03-31,1819,"225,16",87,20.908045977011493,35
0414KO,2018-01-04,2018-04-30,1747,"216,49",116,15.060344827586206,35
0414KO,2018-01-05,2018-05-31,1823,"225,64",146,12.486301369863014,35
0414KO,2018-01-06,2018-06-30,1769,"219,14",175,10.108571428571429,35
0414KO,2018-01-07,2018-07-31,1840,"227,82",205,8.975609756097562,35
0414KO,2018-01-08,2018-08-31,1852,"229,27",235,7.8808510638297875,35
0414KO,2018-01-09,2018-09-30,1761,"219,68",264,6.670454545454546,35
0414KO,2018-01-10,2018-10-31,1816,"226,36",294,6.1768707482993195,35
0414KO,2018-01-11,2018-11-30,1754,"218,83",323,5.430340557275541,35
0414KO,2018-01-12,2018-12-31,1836,"228,78",353,5.201133144475921,35
0414KO,2019-01-01,2019-01-31,1859,"254,47",30,61.96666666666667,35
0414KO,2019-01-02,2019-02-28,1650,"226,54",57,28.94736842105263,35
0414KO,2019-01-03,2019-03-31,1796,"246,05",87,20.64367816091954,35
0414KO,2019-01-04,2019-04-30,1747,"239,51",116,15.060344827586206,35
0414KO,2019-01-05,2019-05-31,1802,"246,85",146,12.342465753424657,35
0414KO,2019-01-06,2019-06-30,1781,"244,05",175,10.177142857142858,35
0414KO,2019-01-07,2019-07-31,1830,"250,60",205,8.926829268292684,35
0414KO,2019-01-08,2019-08-31,1843,"252,33",235,7.842553191489362,35
0414KO,2019-01-09,2019-09-30,1756,"240,71",264,6.651515151515151,35
0414KO,2019-01-10,2019-10-31,1806,"247,39",294,6.142857142857143,35
0414KO,2019-01-11,2019-11-30,1738,"238,30",323,5.3808049535603715,35
0414KO,2019-01-12,2019-12-31,1818,"248,99",353,5.15014164305949,35
0414KO,2020-01-01,2020-01-31,1819,"247,78",30,60.63333333333333,35
0414KO,2020-01-02,2020-02-29,1507,"206,45",58,25.982758620689655,35
0414KO,2020-01-03,2020-03-31,1619,"221,29",88,18.397727272727273,35
0414KO,2020-01-04,2020-04-30,1660,"226,72",117,14.188034188034187,35
0414KO,2020-01-05,2020-05-31,2225,"301,56",147,15.136054421768707,35
0414KO,2020-01-06,2020-06-30,2197,"297,86",176,12.482954545454545,35
0414KO,2020-01-07,2020-07-31,2387,"323,03",206,11.587378640776699,35
0414KO,2020-01-08,2020-08-31,2409,"325,94",236,10.207627118644067,35
0414KO,2020-01-09,2020-09-30,2282,"309,12",265,8.611320754716981,35
0414KO,2020-01-10,2020-10-31,2306,"312,30",295,7.816949152542373,35
0414KO,2020-01-11,2020-11-30,2141,"283,63",324,6.6080246913580245,35
0417KO,2018-01-01,2018-01-31,2634,"285,44",30,87.8,35
0417KO,2018-01-02,2018-02-28,2409,"264,00",57,42.26315789473684,35
0417KO,2018-01-03,2018-03-31,2646,"286,52",87,30.413793103448278,35
0417KO,2018-01-04,2018-04-30,2559,"278,32",116,22.060344827586206,35
0417KO,2018-01-05,2018-05-31,2670,"288,79",146,18.28767123287671,35
0417KO,2018-01-06,2018-06-30,2597,"281,88",175,14.84,35
0417KO,2018-01-07,2018-07-31,2700,"291,85",205,13.170731707317072,35
0417KO,2018-01-08,2018-08-31,2707,"292,54",235,11.519148936170213,35
0417KO,2018-01-09,2018-09-30,2569,"281,42",264,9.731060606060606,35
0417KO,2018-01-10,2018-10-31,2619,"286,20",294,8.908163265306122,35
0417KO,2018-01-11,2018-11-30,2532,"277,93",323,7.8390092879256965,35
0417KO,2018-01-12,2018-12-31,2625,"286,80",353,7.436260623229462,35
0417KO,2019-01-01,2019-01-31,2647,"322,04",30,88.23333333333333,35
0417KO,2019-01-02,2019-02-28,2343,"289,21",57,41.10526315789474,35
0417KO,2019-01-03,2019-03-31,2575,"314,28",87,29.597701149425287,35
0417KO,2019-01-04,2019-04-30,2490,"305,07",116,21.46551724137931,35
0417KO,2019-01-05,2019-05-31,2599,"316,87",146,17.801369863013697,35
0417KO,2019-01-06,2019-06-30,2599,"316,87",175,14.851428571428572,35
0417KO,2019-01-07,2019-07-31,2653,"322,72",205,12.941463414634146,35
0417KO,2019-01-08,2019-08-31,2680,"325,64",235,11.404255319148936,35
0417KO,2019-01-09,2019-09-30,2529,"309,34",264,9.579545454545455,35
0417KO,2019-01-10,2019-10-31,2600,"316,98",294,8.843537414965986,35
0417KO,2019-01-11,2019-11-30,2494,"305,52",323,7.7213622291021675,35
0417KO,2019-01-12,2019-12-31,2589,"315,75",353,7.334277620396601,35
0417KO,2020-01-01,2020-01-31,2595,"307,92",30,86.5,35
0417KO,2020-01-02,2020-02-29,2417,"289,41",58,41.672413793103445,35
0417KO,2020-01-03,2020-03-31,2593,"307,71",88,29.46590909090909,35
0417KO,2020-01-04,2020-04-30,2518,"299,91",117,21.521367521367523,35
0417KO,2020-01-05,2020-05-31,2601,"308,57",147,17.693877551020407,35
0417KO,2020-01-06,2020-06-30,2562,"304,46",176,14.556818181818182,35
0417KO,2020-01-07,2020-07-31,2670,"315,72",206,12.96116504854369,35
0417KO,2020-01-08,2020-08-31,2699,"318,75",236,11.436440677966102,35
0417KO,2020-01-09,2020-09-30,2533,"301,54",265,9.558490566037737,35
0417KO,2020-01-10,2020-10-31,2409,"288,54",295,8.166101694915254,35
0417KO,2020-01-11,2020-11-30,2435,"253,51",324,7.515432098765432,35
0418KO,2018-01-01,2018-01-31,1406,"168,78",30,46.86666666666667,35
0418KO,2018-01-02,2018-02-28,1294,"158,12",57,22.70175438596491,35
0418KO,2018-01-03,2018-03-31,1420,"170,07",87,16.32183908045977,35
0418KO,2018-01-04,2018-04-30,1421,"170,17",116,12.25,35
0418KO,2018-01-05,2018-05-31,1460,"173,92",146,10.0,35
0418KO,2018-01-06,2018-06-30,1486,"176,39",175,8.491428571428571,35
0418KO,2018-01-07,2018-07-31,1335,"162,16",205,6.512195121951219,35
0418KO,2018-01-08,2018-08-31,1168,"146,25",235,4.970212765957447,35
0418KO,2018-01-09,2018-09-30,1439,"173,18",264,5.450757575757576,35
0418KO,2018-01-10,2018-10-31,1422,"171,48",294,4.836734693877551,35
0418KO,2018-01-11,2018-11-30,1374,"166,90",323,4.253869969040248,35
0418KO,2018-01-12,2018-12-31,1403,"169,69",353,3.9745042492917846,35
0418KO,2019-01-01,2019-01-31,1416,"189,05",30,47.2,35
0418KO,2019-01-02,2019-02-28,1275,"173,76",57,22.36842105263158,35
0418KO,2019-01-03,2019-03-31,1388,"186,02",87,15.954022988505747,35
0418KO,2019-01-04,2019-04-30,1100,"154,88",116,9.482758620689655,35
0418KO,2019-01-05,2019-05-31,1442,"191,86",146,9.876712328767123,35
0418KO,2019-01-06,2019-06-30,1491,"197,15",175,8.52,35
0418KO,2019-01-07,2019-07-31,1510,"199,17",205,7.365853658536586,35
0418KO,2019-01-08,2019-08-31,1593,"208,16",235,6.778723404255319,35
0418KO,2019-01-09,2019-09-30,1855,"236,49",264,7.026515151515151,35
0418KO,2019-01-10,2019-10-31,1928,"244,36",294,6.557823129251701,35
0418KO,2019-01-11,2019-11-30,1864,"237,39",323,5.7708978328173375,35
0418KO,2019-01-12,2019-12-31,1912,"242,56",353,5.4164305949008495,35
0418KO,2020-01-01,2020-01-31,1917,"237,32",30,63.9,35
0418KO,2020-01-02,2020-02-29,1795,"224,65",58,30.948275862068964,35
0418KO,2020-01-03,2020-03-31,1923,"237,97",88,21.852272727272727,35
0418KO,2020-01-04,2020-04-30,1871,"232,55",117,15.991452991452991,35
0418KO,2020-01-05,2020-05-31,1948,"240,57",147,13.251700680272108,35
0418KO,2020-01-06,2020-06-30,1929,"238,62",176,10.960227272727273,35
0418KO,2020-01-07,2020-07-31,2000,"245,98",206,9.70873786407767,35
0418KO,2020-01-08,2020-08-31,2017,"247,72",236,8.546610169491526,35
0418KO,2020-01-09,2020-09-30,1919,"237,54",265,7.241509433962264,35
0418KO,2020-01-10,2020-10-31,1953,"241,11",295,6.620338983050847,35
0418KO,2020-01-11,2020-11-30,1827,"190,27",324,5.638888888888889,35
0419KO,2018-01-01,2018-01-31,2068,"231,60",30,68.93333333333334,35
0419KO,2018-01-02,2018-02-28,1821,"208,19",57,31.94736842105263,35
0419KO,2018-01-03,2018-03-31,2012,"226,37",87,23.126436781609197,35
0419KO,2018-01-04,2018-04-30,1978,"223,11",116,17.051724137931036,35
0419KO,2018-01-05,2018-05-31,2063,"231,21",146,14.13013698630137,35
0419KO,2018-01-06,2018-06-30,2005,"225,68",175,11.457142857142857,35
0419KO,2018-01-07,2018-07-31,2130,"237,68",205,10.390243902439025,35
0419KO,2018-01-08,2018-08-31,2074,"232,34",235,8.825531914893617,35
0419KO,2018-01-09,2018-09-30,1852,"212,75",264,7.015151515151516,35
0419KO,2018-01-10,2018-10-31,1908,"218,13",294,6.489795918367347,35
0419KO,2018-01-11,2018-11-30,2261,"251,91",323,7.0,35
0419KO,2018-01-12,2018-12-31,2815,"305,04",353,7.974504249291785,35
0419KO,2019-01-01,2019-01-31,2815,"340,25",30,93.83333333333333,35
0419KO,2019-01-02,2019-02-28,2545,"311,02",57,44.64912280701754,35
0419KO,2019-01-03,2019-03-31,2822,"340,93",87,32.4367816091954,35
0419KO,2019-01-04,2019-04-30,2734,"331,48",116,23.56896551724138,35
0419KO,2019-01-05,2019-05-31,2834,"342,28",146,19.410958904109588,35
0419KO,2019-01-06,2019-06-30,2822,"367,89",175,16.125714285714285,35
0419KO,2019-01-07,2019-07-31,2871,"346,32",205,14.004878048780487,35
0419KO,2019-01-08,2019-08-31,2882,"371,41",235,12.263829787234043,35
0419KO,2019-01-09,2019-09-30,2751,"333,28",264,10.420454545454545,35
0419KO,2019-01-10,2019-10-31,2834,"342,28",294,9.639455782312925,35
0419KO,2019-01-11,2019-11-30,2732,"331,26",323,8.458204334365325,35
0419KO,2019-01-12,2019-12-31,2827,"341,49",353,8.008498583569406,35
0419KO,2020-01-01,2020-01-31,2823,"331,64",30,94.1,35
0419KO,2020-01-02,2020-02-29,2637,"312,36",58,45.46551724137931,35
0419KO,2020-01-03,2020-03-31,2845,"334,02",88,32.32954545454545,35
0419KO,2020-01-04,2020-04-30,2762,"325,36",117,23.60683760683761,35
0419KO,2020-01-05,2020-05-31,2857,"335,21",147,19.435374149659864,35
0419KO,2020-01-06,2020-06-30,2788,"328,07",176,15.840909090909092,35
0419KO,2020-01-07,2020-07-31,2887,"338,35",206,14.014563106796116,35
0419KO,2020-01-08,2020-08-31,2893,"361,01",236,12.258474576271187,35
0419KO,2020-01-09,2020-09-30,2075,"253,78",265,7.830188679245283,35
0419KO,2020-01-10,2020-10-31,2072,"253,45",295,7.023728813559322,35
0419KO,2020-01-11,2020-11-30,1950,"203,04",324,6.018518518518518,35
0421KO,2018-01-01,2018-01-31,2115,"236,15",30,70.5,35
0421KO,2018-01-02,2018-02-28,2034,"228,44",57,35.68421052631579,35
0421KO,2018-01-03,2018-03-31,2046,"229,53",87,23.517241379310345,35
0421KO,2018-01-04,2018-04-30,1650,"192,00",116,14.224137931034482,35
0421KO,2018-01-05,2018-05-31,1689,"195,65",146,11.568493150684931,35
0421KO,2018-01-06,2018-06-30,1652,"192,09",175,9.44,35
0421KO,2018-01-07,2018-07-31,1701,"196,95",205,8.297560975609755,35
0421KO,2018-01-08,2018-08-31,1602,"187,47",235,6.817021276595745,35
0421KO,2018-01-09,2018-09-30,1519,"180,85",264,5.753787878787879,35
0421KO,2018-01-10,2018-10-31,1810,"208,65",294,6.156462585034014,35
0421KO,2018-01-11,2018-11-30,2411,"266,27",323,7.464396284829721,35
0421KO,2018-01-12,2018-12-31,2530,"277,73",353,7.1671388101983,35
0421KO,2019-01-01,2019-01-31,2585,"315,41",30,86.16666666666667,35
0421KO,2019-01-02,2019-02-28,2240,"278,09",57,39.29824561403509,35
0421KO,2019-01-03,2019-03-31,2451,"300,91",87,28.17241379310345,35
0421KO,2019-01-04,2019-04-30,2374,"292,59",116,20.46551724137931,35
0421KO,2019-01-05,2019-05-31,2463,"302,14",146,16.86986301369863,35
0421KO,2019-01-06,2019-06-30,2449,"300,68",175,13.994285714285715,35
0421KO,2019-01-07,2019-07-31,2510,"307,20",205,12.24390243902439,35
0421KO,2019-01-08,2019-08-31,2519,"308,21",235,10.719148936170212,35
0421KO,2019-01-09,2019-09-30,2403,"295,74",264,9.102272727272727,35
0421KO,2019-01-10,2019-10-31,2480,"304,05",294,8.435374149659864,35
0421KO,2019-01-11,2019-11-30,2389,"294,16",323,7.396284829721362,35
0421KO,2019-01-12,2019-12-31,2502,"306,41",353,7.087818696883852,35
0421KO,2020-01-01,2020-01-31,2531,"308,99",30,84.36666666666666,35
0421KO,2020-01-02,2020-02-29,2312,"278,47",58,39.86206896551724,35
0421KO,2020-01-03,2020-03-31,2469,"294,82",88,28.056818181818183,35
0421KO,2020-01-04,2020-04-30,2403,"288,00",117,20.53846153846154,35
0421KO,2020-01-05,2020-05-31,2336,"280,96",147,15.891156462585034,35
0421KO,2020-01-06,2020-06-30,2060,"252,26",176,11.704545454545455,35
0421KO,2020-01-07,2020-07-31,2128,"259,30",206,10.330097087378642,35
0421KO,2020-01-08,2020-08-31,2141,"260,71",236,9.072033898305085,35
0421KO,2020-01-09,2020-09-30,2039,"250,10",265,7.694339622641509,35
0421KO,2020-01-10,2020-10-31,2092,"255,62",295,7.091525423728814,35
0421KO,2020-01-11,2020-11-30,1984,"206,62",324,6.1234567901234565,35
0423KO,2018-01-01,2018-01-31,898,"120,48",30,29.933333333333334,35
0423KO,2018-01-02,2018-02-28,828,"113,86",57,14.526315789473685,35
0423KO,2018-01-03,2018-03-31,903,"120,98",87,10.379310344827585,35
0423KO,2018-01-04,2018-04-30,879,"118,70",116,7.577586206896552,35
0423KO,2018-01-05,2018-05-31,919,"122,56",146,6.294520547945205,35
0423KO,2018-01-06,2018-06-30,882,"119,00",175,5.04,35
0423KO,2018-01-07,2018-07-31,933,"123,91",205,4.5512195121951216,35
0423KO,2018-01-08,2018-08-31,945,"125,09",235,4.0212765957446805,35
0423KO,2018-01-09,2018-09-30,877,"119,26",264,3.321969696969697,35
0423KO,2018-01-10,2018-10-31,908,"122,25",294,3.0884353741496597,35
0423KO,2018-01-11,2018-11-30,889,"120,45",323,2.7523219814241484,35
0423KO,2018-01-12,2018-12-31,921,"123,54",353,2.6090651558073654,35
0423KO,2019-01-01,2019-01-31,926,"135,99",30,30.866666666666667,35
0423KO,2019-01-02,2019-02-28,826,"125,20",57,14.491228070175438,35
0423KO,2019-01-03,2019-03-31,910,"134,30",87,10.459770114942529,35
0423KO,2019-01-04,2019-04-30,884,"131,49",116,7.620689655172414,35
0423KO,2019-01-05,2019-05-31,916,"134,98",146,6.273972602739726,35
0423KO,2019-01-06,2019-06-30,939,"137,45",175,5.365714285714286,35
0423KO,2019-01-07,2019-07-31,958,"139,48",205,4.673170731707317,35
0423KO,2019-01-08,2019-08-31,971,"140,94",235,4.131914893617021,35
0423KO,2019-01-09,2019-09-30,900,"133,18",264,3.409090909090909,35
0423KO,2019-01-10,2019-10-31,1164,"161,73",294,3.9591836734693877,35
0423KO,2019-01-11,2019-11-30,1319,"178,48",323,4.08359133126935,35
0423KO,2019-01-12,2019-12-31,1373,"184,33",353,3.8895184135977336,35
0423KO,2020-01-01,2020-01-31,1379,"181,33",30,45.96666666666667,35
0423KO,2020-01-02,2020-02-29,1290,"172,02",58,22.24137931034483,35
0423KO,2020-01-03,2020-03-31,1392,"182,63",88,15.818181818181818,35
0423KO,2020-01-04,2020-04-30,1370,"180,36",117,11.709401709401709,35
0423KO,2020-01-05,2020-05-31,1415,"185,12",147,9.625850340136054,35
0423KO,2020-01-06,2020-06-30,1372,"180,58",176,7.795454545454546,35
0423KO,2020-01-07,2020-07-31,1433,"186,96",206,6.956310679611651,35
0423KO,2020-01-08,2020-08-31,1447,"188,37",236,6.13135593220339,35
0423KO,2020-01-09,2020-09-30,1369,"180,25",265,5.166037735849057,35
0423KO,2020-01-10,2020-10-31,1399,"183,39",295,4.742372881355932,35
0423KO,2020-01-11,2020-11-30,1349,"140,45",324,4.16358024691358,35
0427KO,2018-01-01,2018-12-31,12440,"1 790,58",364,34.175824175824175,24
0427KO,2019-01-01,2019-01-31,1029,"162,27",30,34.3,24
0427KO,2019-01-02,2019-02-28,928,"148,30",57,16.280701754385966,24
0427KO,2019-01-03,2019-03-31,1036,"146,33",87,11.908045977011493,24
0427KO,2019-01-04,2019-04-30,1014,"143,39",116,8.741379310344827,24
0427KO,2019-01-05,2019-05-31,1052,"148,46",146,7.205479452054795,24
0427KO,2019-01-06,2019-06-30,1085,"152,87",175,6.2,24
0427KO,2019-01-07,2019-07-31,1088,"153,27",205,5.307317073170732,24
0427KO,2019-01-08,2019-08-31,1105,"155,54",235,4.702127659574468,24
0427KO,2019-01-09,2019-09-30,1194,"167,44",264,4.5227272727272725,24
0427KO,2019-01-10,2019-10-31,1322,"184,54",294,4.496598639455782,24
0427KO,2019-01-11,2019-11-30,1262,"176,52",323,3.9071207430340555,24
0427KO,2019-01-12,2019-12-31,1295,"180,93",353,3.668555240793201,24
0427KO,2020-01-01,2020-01-31,1297,"180,67",30,43.233333333333334,24
0427KO,2020-01-02,2020-02-29,1218,"170,20",58,21.0,24
0427KO,2020-01-03,2020-03-31,1309,"182,26",88,14.875,24
0427KO,2020-01-04,2020-04-30,1272,"177,36",117,10.871794871794872,24
0427KO,2020-01-05,2020-05-31,1316,"183,19",147,8.952380952380953,24
0427KO,2020-01-06,2020-06-30,1291,"179,87",176,7.3352272727272725,24
0427KO,2020-01-07,2020-07-31,1344,"186,90",206,6.524271844660194,24
0427KO,2020-01-08,2020-08-31,1353,"188,09",236,5.733050847457627,24
0427KO,2020-01-09,2020-09-30,1291,"179,87",265,4.871698113207547,24
0427KO,2020-01-10,2020-10-31,1316,"183,19",295,4.461016949152542,24
0427KO,2020-01-11,2020-11-30,1267,"176,69",324,3.9104938271604937,24
0428KO,2018-01-01,2018-01-31,1022,"129,73",30,34.06666666666667,35
0428KO,2018-01-02,2018-02-28,1027,"130,34",57,18.017543859649123,35
0428KO,2018-01-03,2018-03-31,1047,"132,75",87,12.03448275862069,35
0428KO,2018-01-04,2018-04-30,972,"123,71",116,8.379310344827585,35
0428KO,2018-01-05,2018-05-31,1017,"129,13",146,6.965753424657534,35
0428KO,2018-01-06,2018-06-30,1009,"128,17",175,5.765714285714286,35
0428KO,2018-01-07,2018-07-31,1048,"132,94",205,5.11219512195122,35
0428KO,2018-01-08,2018-08-31,1065,"134,99",235,4.531914893617022,35
0428KO,2018-01-09,2018-09-30,1005,"128,55",264,3.8068181818181817,35
0428KO,2018-01-10,2018-10-31,1034,"132,07",294,3.5170068027210886,35
0428KO,2018-01-11,2018-11-30,1003,"128,30",323,3.1052631578947367,35
0428KO,2018-01-12,2018-12-31,1031,"131,70",353,2.9206798866855523,35
0428KO,2019-01-01,2019-01-31,1086,"151,80",30,36.2,35
0428KO,2019-01-02,2019-02-28,954,"134,16",57,16.736842105263158,35
0428KO,2019-01-03,2019-03-31,1020,"142,98",87,11.724137931034482,35
0428KO,2019-01-04,2019-04-30,985,"138,30",116,8.491379310344827,35
0428KO,2019-01-05,2019-05-31,1025,"143,65",146,7.02054794520548,35
0428KO,2019-01-06,2019-06-30,1023,"143,38",175,5.845714285714286,35
0428KO,2019-01-07,2019-07-31,1053,"147,39",205,5.136585365853659,35
0428KO,2019-01-08,2019-08-31,1062,"148,59",235,4.519148936170213,35
0428KO,2019-01-09,2019-09-30,998,"140,04",264,3.7803030303030303,35
0428KO,2019-01-10,2019-10-31,1031,"144,45",294,3.506802721088435,35
0428KO,2019-01-11,2019-11-30,987,"138,57",323,3.0557275541795668,35
0428KO,2019-01-12,2019-12-31,1046,"146,45",353,2.963172804532578,35
0428KO,2020-01-01,2020-01-31,1024,"143,14",30,34.13333333333333,35
0428KO,2020-01-02,2020-02-29,987,"138,24",58,17.017241379310345,35
0428KO,2020-01-03,2020-03-31,1058,"147,65",88,12.022727272727273,35
0428KO,2020-01-04,2020-04-30,991,"138,77",117,8.47008547008547,35
0428KO,2020-01-05,2020-05-31,1016,"142,08",147,6.91156462585034,35
0428KO,2020-01-06,2020-06-30,1131,"157,32",176,6.426136363636363,35
0428KO,2020-01-07,2020-07-31,1264,"174,94",206,6.135922330097087,35
0428KO,2020-01-08,2020-08-31,1278,"176,79",236,5.415254237288136,35
0428KO,2020-01-09,2020-09-30,1224,"169,64",265,4.618867924528302,35
0428KO,2020-01-10,2020-10-31,1237,"171,36",295,4.193220338983051,35
0428KO,2020-01-11,2020-11-30,1183,"156,72",324,3.6512345679012346,35
0429KO,2018-01-01,2018-01-31,1223,"155,15",30,40.766666666666666,35
0429KO,2018-01-02,2018-02-28,1105,"140,93",57,19.385964912280702,35
0429KO,2018-01-03,2018-03-31,1225,"155,39",87,14.080459770114942,35
0429KO,2018-01-04,2018-04-30,1212,"153,83",116,10.448275862068966,35
0429KO,2018-01-05,2018-05-31,1290,"163,22",146,8.835616438356164,35
0429KO,2018-01-06,2018-06-30,1235,"156,60",175,7.057142857142857,35
0429KO,2018-01-07,2018-07-31,1304,"165,00",205,6.360975609756098,35
